image_path,class,internal_class,selection,reviewed
dataset\Apple___Cedar_apple_rust\image (201).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (211).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Black_rot\image (109).JPG,Apple___Black_rot,black_rot,high,1
dataset\Apple___Apple_scab\image (543).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (3).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (15).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (219).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Black_rot\image (378).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Apple_scab\image (493).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___healthy\image (855).JPG,Apple___healthy,healthy,low,1
dataset\Apple___healthy\image (1279).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (415).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Apple_scab\image (280).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___healthy\image (591).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (303).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (264).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (2).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Cedar_apple_rust\image (252).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (137).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (174).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Cedar_apple_rust\image (91).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___healthy\image (1038).JPG,Apple___healthy,healthy,low,1
dataset\Apple___healthy\image (1209).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (129).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (77).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (49).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (460).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (554).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Black_rot\image (232).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (546).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Apple_scab\image (400).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___healthy\image (1380).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (71).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (574).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (86).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Cedar_apple_rust\image (133).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Apple_scab\image (611).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Black_rot\image (201).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Apple_scab\image (232).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Cedar_apple_rust\image (111).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___healthy\image (773).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (220).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (232).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Black_rot\image (134).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (270).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (276).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (120).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (109).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (29).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (139).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (79).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Black_rot\image (416).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Black_rot\image (65).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Apple_scab\image (169).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Apple_scab\image (406).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Apple_scab\image (195).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Cedar_apple_rust\image (165).JPG,Apple___Cedar_apple_rust,cedar_rust,low,1
dataset\Apple___Black_rot\image (498).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___Cedar_apple_rust\image (168).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___healthy\image (545).JPG,Apple___healthy,healthy,low,1
dataset\Apple___healthy\image (236).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (195).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Apple_scab\image (112).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___healthy\image (532).JPG,Apple___healthy,healthy,low,1
dataset\Apple___healthy\image (940).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Apple_scab\image (250).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___Black_rot\image (178).JPG,Apple___Black_rot,black_rot,low,1
dataset\Apple___healthy\image (739).JPG,Apple___healthy,healthy,low,1
dataset\Apple___healthy\image (924).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Black_rot\image (478).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Apple_scab\image (544).JPG,Apple___Apple_scab,apple_scab,high,1
dataset\Apple___Apple_scab\image (270).JPG,Apple___Apple_scab,apple_scab,moderate,1
dataset\Apple___healthy\image (149).JPG,Apple___healthy,healthy,low,1
dataset\Apple___healthy\image (1204).JPG,Apple___healthy,healthy,low,1
dataset\Apple___Cedar_apple_rust\image (11).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Black_rot\image (479).JPG,Apple___Black_rot,black_rot,moderate,1
dataset\Apple___Apple_scab\image (372).JPG,Apple___Apple_scab,apple_scab,low,1
dataset\Apple___Cedar_apple_rust\image (162).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (32).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (214).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (155).JPG,Apple___Cedar_apple_rust,cedar_rust,moderate,1
dataset\Apple___Cedar_apple_rust\image (259).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
dataset\Apple___Cedar_apple_rust\image (80).JPG,Apple___Cedar_apple_rust,cedar_rust,high,1
